_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
13064,0120N00015001700,5551 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94900684702706,40.48413786709852
13065,0120N00015001800,5553 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.9490378780546,40.48418941153374
13066,0120N00015001900,5555 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94907593865085,40.48423319185627
13067,0120N00015002000,5557 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94910610262521,40.48428409875946
13068,0120N00015002100,5571 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94879004293837,40.484234818995475
13069,0120N00015002200,5573 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94882986203756,40.48428148973931
13070,0120N00015002300,5575 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94885846553596,40.48432984760685
13071,0120N00015002400,5577 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94890033273654,40.484376776377395
13072,0120N00015002500,5581 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94854514357021,40.48431719883363
13073,0120N00015002600,5583 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94858561401588,40.48436368230304
13074,0120N00015002700,5585 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94861346782409,40.48441159883307
13075,0120N00015002800,5587 BUTLER ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94865125440558,40.484454958574965
13076,0120N00015002900,168 56TH ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94833774536863,40.48440887848788
13077,0120N00015003000,164 56TH ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94836818663691,40.484459242687386
13078,0120N00015003100,160 56TH ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94840511467523,40.484503241271106
13079,0120N00015003200,156 56TH ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94843972188465,40.48454906498524
13080,0120N00015003300,143 55TH ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95021272296253,40.48402224165822
13081,0120N00015003400,139 55TH ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95025425165643,40.484069569479225
13082,0120N00015003500,135 55TH ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95028226410786,40.48411757911797
13083,0120N00015003600,131 55TH ST,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95032002422347,40.484159366089166
13084,0120N00015003700,5517 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95000301074592,40.484115297254085
13085,0120N00015003800,5519 BERLIN WAY,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95004284258385,40.48416275215906
13086,0120N00015003900,5521 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95007180560465,40.48421073154739
13087,0120N00015004000,5523 BERLIN WAY,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95010847880944,40.4842542965658
13088,0120N00015004100,5527 BERLIN WAY,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94974409171412,40.48417544655701
13089,0120N00015004200,5529 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94977305752704,40.484222595804006
