_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
16290,2.01E+11,Krazy Brothers Pizza,109,Brookline Boulevard,Pittsburgh,PA,15226,Beechview,113,Retail/Convenience Store,1,5/1/2009,5/1/2009,3/18/2013,,,800,7,1,-80.02615836,40.39797878,109 Brookline Boulevard PA 15226
16692,2.01E+11,Vinny's Pizza Brookline,618,Brookline Blvd,Pittsburgh,PA,15226,Beechview,211,Restaurant without Liquor,1,1/1/2010,1/1/2010,1/3/2011,0,,,7,1,-80.02215015,40.3950133,618  Brookline Blvd PA 15226
16992,2.01E+11,Fox's Pizza Brookline,902,Brookline Blvd,Pittsburgh,PA,15226,Beechview,211,Restaurant without Liquor,1,8/29/2011,8/29/2011,3/24/2015,32,,,7,1,-80.01916702,40.39278927,902 Brookline Blvd PA 15226
17232,2.01E+11,Vinny's Pizza & Pasta,618,Brookline Boulevard,Pittsburgh,PA,15226,Beechview,211,Restaurant without Liquor,1,1/3/2011,1/3/2011,1/9/2012,0,,,7,1,-80.02215015,40.3950133,618 Brookline Boulevard PA 15226
19746,2.01E+11,Yinz Guy's Pizza ,1914,Brownsville Road,Pittsburgh,PA,15210,Beltzhoover,211,Restaurant without Liquor,1,9/22/2014,9/22/2014,8/20/2018,0,,,7,1,-79.98721057,40.39557932,1914 Brownsville Road PA 15210
21787,2.02E+11,Pizza 412,2080,Saw Mill Run Boulevard,Pittsburgh,PA,15210,Beltzhoover,211,Restaurant without Liquor,1,9/8/2016,9/8/2016,10/13/2017,0,,,7,1,-79.99744043,40.39224359,2080 Saw Mill Run Boulevard PA 15210
22219,2.02E+11,Pizza 412,2080,Saw Mill Run  Boulevard,Pittsburgh,PA,15210,Beltzhoover,211,Restaurant without Liquor,1,10/13/2017,10/13/2017,,0,,,1,1,-79.99744043,40.39224359,2080 Saw Mill Run  Boulevard PA 15210
23105,2.01E+11,My Pizza Place,516,Brownsville Rd,Pittsburgh,PA,15210,Beltzhoover,211,Restaurant without Liquor,0,7/27/2005,7/27/2005,,0,,,7,,-79.99001655,40.41159694,516 Brownsville Rd PA 15210
23107,2.00E+11,Uptown Pizza,516,Brownsville Rd,Pittsburgh,PA,15210,Beltzhoover,211,Restaurant without Liquor,7,3/24/2004,3/24/2004,,0,,,7,,-79.99001655,40.41159694,516 Brownsville Rd PA 15210
23268,2.00E+11,8-Balls Pizza,2621,Brownsville Rd,Pittsburgh,PA,15210,Beltzhoover,211,Restaurant without Liquor,7,3/15/2002,3/15/2002,,0,,,7,,,,2621 Brownsville Rd PA 15210
792,35867,Pizza Hut #605097,5855,Baum Blvd,Pittsburgh,PA,15206,Bloomfield,202,Chain Restaurant with Liquor,0,6/17/1984,6/17/1984,,135,,,7,,-79.92882856,40.46018651,5855 Baum Blvd PA 15206
4963,49505,Pizza Perfectta,258,S Highland Ave,Pittsburgh,PA,15206,Bloomfield,211,Restaurant without Liquor,0,1/1/1993,1/1/1993,,0,,,1,1,-79.92534977,40.45722643,258 S Highland Ave PA 15206
6002,48013,Capri Pizza,123,N Highland Ave,Pittsburgh,PA,15206,Bloomfield,212,Chain Restaurant without Liquor,1,2/5/1992,2/5/1992,1/14/2011,80,,,7,1,-79.92483059,40.46226624,123 N Highland Ave PA 15206
6272,43130,Eddie's Pizza Haus,1744,Chislett St,Pittsburgh,PA,15206,Bloomfield,211,Restaurant without Liquor,1,12/14/1987,12/14/1987,,0,,,1,1,-79.92591422,40.48530839,1744 Chislett St PA 15206
7550,43945,PM Pizza,1/2/5802,Bryant St,Pittsburgh,PA,15206,Bloomfield,211,Restaurant without Liquor,7,8/1/1988,8/1/1988,,0,,,7,,-79.91972743,40.47729516,5802 - 1/2 Bryant St PA 15206
20528,2.02E+11,Pizza Italia,4512,Liberty Avenue,Pittsburgh,PA,15224,Bloomfield,211,Restaurant without Liquor,1,1/4/2016,1/4/2016,,30,,,1,1,-79.95150696,40.46272973,4512 Liberty Ave PA 15224
20599,2.02E+11,Fox's Pizza Lawrenceville,4060,Penn Avenue,Pittsburgh,PA,15224,Bloomfield,206,Restaurant without Liquor,-4,1/9/2018,1/9/2018,3/5/2020,25,,,7,1,,,4060 Penn Avenue PA 15229
21417,2.02E+11,Pizza Fiesta #2,4911,Penn Avenue,Pittsburgh,PA,15224,Bloomfield,211,Restaurant without Liquor,0,11/10/2015,11/10/2015,,24,,,1,1,-79.94472707,40.46545484,4911 Penn Avenue PA 15224
